subject ROI    y     x
HMN060 LSFG 0.2903 19.33
HMN062 LSFG 0.0735 14.67
HMN065 LSFG 0.4113 18.21
HMN068 LSFG 0.2947 18.71
HMN069 LSFG 0.3097 18.45
HMN072 LSFG 0.1283 14.88
HMN073 LSFG 0.3346 14.95
HMN074 LSFG 0.3433 18.67
HMN075 LSFG 0.5058 18.88
HMN077 LSFG -0.0365 17.52
HMN079 LSFG -0.0165 15.54
HMN080_W2 LSFG 0.2382 15.1
HMN081 LSFG 0.0978 13.5
HMN082 LSFG -0.0843 9.8
HMN083_W2 LSFG 0.3032 15.07
HMN085 LSFG 0.0578 13.6
HMN086 LSFG -0.0813 16.05
HMN087 LSFG 0.0744 19
HMN088 LSFG -0.069 14.07
HMN090 LSFG -0.0623 19.29
HMN092 LSFG 0.1411 12.86
HMN095 LSFG 0.0182 16.85
HMN096 LSFG 0.3092 17.69
HMN099 LSFG 0.1493 17.05
HMN101 LSFG -0.0506 14.64
HMN102 LSFG 0.3986 12.37
HMN103 LSFG -0.0269 15.93
HMN104 LSFG 0.1923 18.43
HMN105 LSFG 0.2243 16.71
HMN108 LSFG 0.1579 18.05
HMN109 LSFG 0.2676 13.95
HMN110 LSFG -0.0991 15.67
HMN111 LSFG -0.1744 13.93
HMN113 LSFG 0.2117 18.98
HMN114 LSFG 0.1016 18.68
HMN115 LSFG -0.1222 17.33
HMN116 LSFG 0.3335 15.93
HMN117 LSFG -0.0508 18.86
HMN118 LSFG 0.0668 14.6
HMN119 LSFG -0.0281 15.48
HMN120 LSFG 0.1265 14.95
HMN121 LSFG 0.137 17.86
HMN122 LSFG -0.0906 19
HMN123 LSFG -0.1683 16.32
HMN124 LSFG 0.2363 18
HMN125_W2 LSFG -0.2941 18.26
HMN126 LSFG 0.2251 12.98
HMN127 LSFG 0.241 16.74
HMN129_W2 LSFG 0.059 14.29
HMN130 LSFG -0.005 14.8
HMN134 LSFG 0.2138 13.07
HMN136 LSFG 0.1026 16.07
HMN138 LSFG 0.1702 17.39
HMN140 LSFG 0.0825 14.1
HMN143 LSFG 0.3899 18.68
HMN144 LSFG 0.0893 16.24
HMN161_W2 LSFG 0.3718 16.14
HMN167 LSFG 0.5426 16.12
HMN169 LSFG 0.178 16.55
HMN172 LSFG 0.0035 16.24
HMN174 LSFG 0.1056 18
HMN175 LSFG 0.3165 19.79
HMN178 LSFG 0.1135 16.95
HMN180 LSFG 0.1987 16.86
HMN182 LSFG -0.0142 17.95
HMN183 LSFG 0.0543 18.6
HMN184 LSFG 0.2172 17.12
HMN186 LSFG 0.0442 17.07
HMN187 LSFG -0.1854 19.6
HMN188 LSFG 0.6158 18.1
HMN189 LSFG 0.4291 16.74
HMN190 LSFG 0.1455 17.33
HMN191 LSFG 0.197 17.98
HMN193 LSFG -0.0501 11.4
HMN194 LSFG 0.1497 18.93
HMN196 LSFG 0.2939 19.31
HMN197 LSFG 0.0746 18
HMN199 LSFG 0.2918 15.26
HMN201 LSFG 0.5267 17.21
HMN001 RIFG_BA45 0.4518 17.76
HMN002 RIFG_BA45 0.3275 17.05
HMN003 RIFG_BA45 -0.0363 15.81
HMN004 RIFG_BA45 0.1755 15.19
HMN005 RIFG_BA45 -0.0676 17.31
HMN006 RIFG_BA45 -0.2422 19.9
